flow,duration,cap,seed,result
0.25,0.25,2,2,-101249
0.25,0.25,2,3,-101605
0.25,0.25,2,4,-101749
0.25,0.25,3,0,-1664
0.25,0.25,3,1,-101583
0.25,0.25,3,2,-101061
0.25,0.25,3,3,-101352
0.25,0.25,3,4,-101573
0.25,0.25,4,0,-1817
0.25,0.25,4,1,-102085
0.25,0.25,4,2,-101669
0.25,0.25,4,3,-101928
0.25,0.25,4,4,-101951
0.25,0.25,5,0,-1701
0.25,0.25,5,1,-101427
0.25,0.25,5,2,-101686
0.25,0.25,5,3,-101674
0.25,0.25,5,4,-101453
0.25,0.25,6,0,-1756
0.25,0.25,6,1,-101799
0.25,0.25,6,2,-101908
0.25,0.25,6,3,-101720
0.25,0.25,6,4,-101237
0.25,0.25,7,0,-2013
0.25,0.25,7,1,-101798
0.25,0.25,7,2,-101623
0.25,0.25,7,3,-101499
0.25,0.25,7,4,-101778
0.25,0.25,8,0,-101743
0.25,0.25,8,1,-102049
0.25,0.25,8,2,-101579
0.25,0.25,8,3,-101788
0.25,0.25,8,4,-101576
0.25,0.25,9,0,-101493
0.25,0.25,9,1,-101267
0.25,0.25,9,2,-101605
0.25,0.25,9,3,-101652
0.25,0.25,9,4,-2655
0.25,0.33,1,0,-1963
0.25,0.33,1,1,-101635
0.25,0.33,1,2,-101111
0.25,0.33,1,3,-101569
0.25,0.33,1,4,-101678
0.25,0.33,2,0,-102635
0.25,0.33,2,1,-101541
0.25,0.33,2,2,-101261
0.25,0.33,2,3,-101786
0.25,0.33,2,4,-101299
0.25,0.33,3,0,-101210
0.25,0.33,3,1,-101450
0.25,0.33,3,2,-101350
0.25,0.33,3,3,-101786
0.25,0.33,3,4,-101775
0.25,0.33,4,0,-101126
0.25,0.33,4,1,-101769
0.25,0.33,4,2,-101649
0.25,0.33,4,3,-101839
0.25,0.33,4,4,-101363
0.25,0.33,5,0,-101769
0.25,0.33,5,1,-101298
0.25,0.33,5,2,-101460
0.25,0.33,5,3,-101641
0.25,0.33,5,4,-101437
0.25,0.33,6,0,-101392
0.25,0.33,6,1,-101745
0.25,0.33,6,2,-101626
0.25,0.33,6,3,-102141
0.25,0.33,6,4,-101350
0.25,0.33,7,0,-101233
0.25,0.33,7,1,-101999
0.25,0.33,7,2,-101645
0.25,0.33,7,3,-101790
0.25,0.33,7,4,-101694
0.25,0.33,8,0,-102962
0.25,0.33,8,1,-101344
0.25,0.33,8,2,-101558
0.25,0.33,8,3,-101862
0.25,0.33,8,4,-101325
0.25,0.33,9,0,-101933
0.25,0.33,9,1,-102385
0.25,0.33,9,2,-101646
0.25,0.33,9,3,-101237
0.25,0.33,9,4,-101182
0.25,0.5,1,0,-100984
0.25,0.5,1,1,-100860
0.25,0.5,1,2,-101340
0.25,0.5,1,3,-101367
0.25,0.5,1,4,-101703
0.25,0.5,2,0,-102235
0.25,0.5,2,1,-101437
0.25,0.5,2,2,-101239
0.25,0.5,2,3,-101484
0.25,0.5,2,4,-101115
0.25,0.5,3,0,-101227
0.25,0.5,3,1,-101396
0.25,0.5,3,2,-101315
0.25,0.5,3,3,-101572
0.25,0.5,3,4,-101189
0.25,0.5,4,0,-101630
0.25,0.5,4,1,-101405
0.25,0.5,4,2,-101256
0.25,0.5,4,3,-101671
0.25,0.5,4,4,-100823
0.25,0.5,5,0,-101990
0.25,0.5,5,1,-101243
0.25,0.5,5,2,-101236
0.25,0.5,5,3,-101611
0.25,0.5,5,4,-101322
0.25,0.5,6,0,-101279
0.25,0.5,6,1,-101097
0.25,0.5,6,2,-101478
0.25,0.5,6,3,-101487
0.25,0.5,6,4,-101405
0.25,0.5,7,0,-101058
0.25,0.5,7,1,-101120
0.25,0.5,7,2,-101242
0.25,0.5,7,3,-101707
0.25,0.5,7,4,-101133
0.25,0.5,8,0,-101006
0.25,0.5,8,1,-101012
0.25,0.5,8,2,-101505
0.25,0.5,8,3,-101708
0.25,0.5,8,4,-101223
0.25,0.5,9,0,-101118
0.25,0.5,9,1,-101134
0.25,0.5,9,2,-101851
0.25,0.5,9,3,-101963
0.25,0.5,9,4,-101161
0.33,0.2,1,0,-899
0.33,0.2,1,1,-1097
0.33,0.2,1,2,-101679
0.33,0.2,1,3,-1242
0.33,0.2,1,4,-101692
0.33,0.2,2,0,-880
0.33,0.2,2,1,-1221
0.33,0.2,2,2,-1099
0.33,0.2,2,3,-974
0.33,0.2,2,4,-101390
0.33,0.2,3,0,-1087
0.33,0.2,3,1,-1049
0.33,0.2,3,2,-1259
0.33,0.2,3,3,-101563
0.33,0.2,3,4,-1207
0.33,0.2,4,0,-961
0.33,0.2,4,1,-1041
0.33,0.2,4,2,-1199
0.33,0.2,4,3,-1005
0.33,0.2,4,4,-1195
0.33,0.2,5,0,-1135
0.33,0.2,5,1,-1088
0.33,0.2,5,2,-1478
0.33,0.2,5,3,-1219
