flow,duration,cap,seed,result
0.33,0.5,2,0,-102455
0.33,0.5,2,1,-101277
0.33,0.5,2,2,-101508
0.33,0.5,2,3,-101679
0.33,0.5,2,4,-101056
0.33,0.5,3,0,-100958
0.33,0.5,3,1,-101490
0.33,0.5,3,2,-100973
0.33,0.5,3,3,-101415
0.33,0.5,3,4,-101503
0.33,0.5,4,0,-101293
0.33,0.5,4,1,-101500
0.33,0.5,4,2,-101468
0.33,0.5,4,3,-101048
0.33,0.5,4,4,-101341
0.33,0.5,5,0,-100898
0.33,0.5,5,1,-101567
0.33,0.5,5,2,-102138
0.33,0.5,5,3,-101660
0.33,0.5,5,4,-101342
0.33,0.5,6,0,-100713
0.33,0.5,6,1,-102262
0.33,0.5,6,2,-101923
0.33,0.5,6,3,-102039
0.33,0.5,6,4,-101828
0.33,0.5,7,0,-100912
0.33,0.5,7,1,-101578
0.33,0.5,7,2,-101579
0.33,0.5,7,3,-101454
0.33,0.5,7,4,-100660
0.33,0.5,8,0,-101997
0.33,0.5,8,1,-101680
0.33,0.5,8,2,-103118
0.33,0.5,8,3,-101545
0.33,0.5,8,4,-101084
0.33,0.5,9,0,-101538
0.33,0.5,9,1,-100710
0.33,0.5,9,2,-101516
0.33,0.5,9,3,-100744
0.33,0.5,9,4,-101861
0.5,0.2,1,0,-101669
0.5,0.2,1,1,-101508
0.5,0.2,1,2,-102119
0.5,0.2,1,3,-101615
0.5,0.2,1,4,-101710
0.5,0.2,2,0,-682
0.5,0.2,2,1,-887
0.5,0.2,2,2,-977
0.5,0.2,2,3,-795
0.5,0.2,2,4,-832
0.5,0.2,3,0,-102283
0.5,0.2,3,1,-101848
0.5,0.2,3,2,-101757
0.5,0.2,3,3,-102124
0.5,0.2,3,4,-102070
0.5,0.2,4,0,-101244
0.5,0.2,4,1,-101957
0.5,0.2,4,2,-101201
0.5,0.2,4,3,-101442
0.5,0.2,4,4,-101432
0.5,0.2,5,0,-101269
0.5,0.2,5,1,-101742
0.5,0.2,5,2,-101439
0.5,0.2,5,3,-101837
0.5,0.2,5,4,-101386
0.5,0.2,6,0,-101013
0.5,0.2,6,1,-101404
0.5,0.2,6,2,-101964
0.5,0.2,6,3,-100818
0.5,0.2,6,4,-100735
0.5,0.2,7,0,-100914
0.5,0.2,7,1,-101443
0.5,0.2,7,2,-101474
0.5,0.2,7,3,-100844
0.5,0.2,7,4,-102061
0.5,0.2,8,0,-100720
0.5,0.2,8,1,-101761
0.5,0.2,8,2,-101036
0.5,0.2,8,3,-101615
0.5,0.2,8,4,-101606
0.5,0.2,9,0,-102072
0.5,0.2,9,1,-101525
0.5,0.2,9,2,-101772
0.5,0.2,9,3,-100777
0.5,0.2,9,4,-101604
0.5,0.25,1,0,-101739
0.5,0.25,1,1,-101393
0.5,0.25,1,2,-102066
0.5,0.25,1,3,-102036
0.5,0.25,1,4,-102164
0.5,0.25,2,0,-694
0.5,0.25,2,1,-1431
0.5,0.25,2,2,-879
0.5,0.25,2,3,-788
0.5,0.25,2,4,-829
0.5,0.25,3,0,-102862
0.5,0.25,3,1,-101581
0.5,0.25,3,2,-102187
0.5,0.25,3,3,-102204
0.5,0.25,3,4,-102349
0.5,0.25,4,0,-100644
0.5,0.25,4,1,-101088
0.5,0.25,4,2,-101632
0.5,0.25,4,3,-102290
0.5,0.25,4,4,-101385
0.5,0.25,5,0,-101497
0.5,0.25,5,1,-101211
0.5,0.25,5,2,-101362
0.5,0.25,5,3,-101190
0.5,0.25,5,4,-100941
0.5,0.25,6,0,-101746
0.5,0.25,6,1,-101560
0.5,0.25,6,2,-101628
0.5,0.25,6,3,-100999
0.5,0.25,6,4,-102075
0.5,0.25,7,0,-100716
0.5,0.25,7,1,-102095
0.5,0.25,7,2,-101162
0.5,0.25,7,3,-101638
0.5,0.25,7,4,-101300
0.5,0.25,8,0,-101263
0.5,0.25,8,1,-101703
0.5,0.25,8,2,-101270
0.5,0.25,8,3,-101154
0.5,0.25,8,4,-100484
0.5,0.25,9,0,-101352
0.5,0.25,9,1,-100858
0.5,0.25,9,2,-101249
0.5,0.25,9,3,-101650
0.5,0.25,9,4,-101388
0.5,0.33,1,0,-101456
0.5,0.33,1,1,-101936
0.5,0.33,1,2,-101875
0.5,0.33,1,3,-101564
0.5,0.33,1,4,-101072
0.5,0.33,2,0,-915
0.5,0.33,2,1,-102169
0.5,0.33,2,2,-1063
0.5,0.33,2,3,-991
0.5,0.33,2,4,-1036
0.5,0.33,3,0,-3005
0.5,0.33,3,1,-102363
0.5,0.33,3,2,-102372
0.5,0.33,3,3,-101964
0.5,0.33,3,4,-102085
0.5,0.33,4,0,-101002
0.5,0.33,4,1,-101456
0.5,0.33,4,2,-101527
0.5,0.33,4,3,-101725
0.5,0.33,4,4,-101259
0.5,0.33,5,0,-100932
0.5,0.33,5,1,-101117
0.5,0.33,5,2,-101337
0.5,0.33,5,3,-101362
0.5,0.33,5,4,-100832
0.5,0.33,6,0,-100989
0.5,0.33,6,1,-101252
0.5,0.33,6,2,-100957
0.5,0.33,6,3,-100688
0.5,0.33,6,4,-101356
0.5,0.33,7,0,-100658
0.5,0.33,7,1,-102311
0.5,0.33,7,2,-101620
0.5,0.33,7,3,-102525
0.5,0.33,7,4,-100924
0.5,0.33,8,0,-101489
0.5,0.33,8,1,-101024
0.5,0.33,8,2,-101357
0.5,0.33,8,3,-102059
0.5,0.33,8,4,-101176
0.5,0.33,9,0,-101179
0.5,0.33,9,1,-100976
0.5,0.33,9,2,-100673
0.5,0.33,9,3,-102304
0.5,0.33,9,4,-102230
0.5,0.5,1,0,-101687
0.5,0.5,1,1,-100938
0.5,0.5,1,2,-101510
0.5,0.5,1,3,-101339
0.5,0.5,1,4,-102027
0.5,0.5,2,0,-2650
0.5,0.5,2,1,-101334
0.5,0.5,2,2,-101324
0.5,0.5,2,3,-101763
0.5,0.5,2,4,-101811
0.5,0.5,3,0,-102488
0.5,0.5,3,1,-101335
0.5,0.5,3,2,-101200
0.5,0.5,3,3,-101819
0.5,0.5,3,4,-101284
0.5,0.5,4,0,-101429
0.5,0.5,4,1,-101053
0.5,0.5,4,2,-101024
0.5,0.5,4,3,-101191
0.5,0.5,4,4,-101204
0.5,0.5,5,0,-101820
0.5,0.5,5,1,-101154
0.5,0.5,5,2,-101300
0.5,0.5,5,3,-101234
0.5,0.5,5,4,-101349
0.5,0.5,6,0,-102204
0.5,0.5,6,1,-100817
0.5,0.5,6,2,-101096
0.5,0.5,6,3,-100726
0.5,0.5,6,4,-100763
0.5,0.5,7,0,-100864
0.5,0.5,7,1,-101895
0.5,0.5,7,2,-101611
0.5,0.5,7,3,-101135
0.5,0.5,7,4,-101664
0.5,0.5,8,0,-101168
0.5,0.5,8,1,-102268
0.5,0.5,8,2,-101299
0.5,0.5,8,3,-101624
0.5,0.5,8,4,-101789
0.5,0.5,9,0,-101745
0.5,0.5,9,1,-101838
0.5,0.5,9,2,-100961
0.5,0.5,9,3,-100692
0.5,0.5,9,4,-100635
1.0,0.2,1,0,-100781
1.0,0.2,1,1,-101451
1.0,0.2,1,2,-100826
1.0,0.2,1,3,-101939
1.0,0.2,1,4,-102155
1.0,0.2,2,0,-406
1.0,0.2,2,1,-547
1.0,0.2,2,2,-610
1.0,0.2,2,3,-684
1.0,0.2,2,4,-519
1.0,0.2,3,0,-226
1.0,0.2,3,1,-234
1.0,0.2,3,2,-287
1.0,0.2,3,3,-332
1.0,0.2,3,4,-265
1.0,0.2,4,0,-581
1.0,0.2,4,1,-675
1.0,0.2,4,2,-667
1.0,0.2,4,3,-708
1.0,0.2,4,4,-631
1.0,0.2,5,0,-102707
1.0,0.2,5,1,-102458
1.0,0.2,5,2,-102037
1.0,0.2,5,3,-102100
1.0,0.2,5,4,-101212
1.0,0.2,6,0,-100809
1.0,0.2,6,1,-100816
1.0,0.2,6,2,-101417
1.0,0.2,6,3,-102203
1.0,0.2,6,4,-101659
1.0,0.2,7,0,-100686
1.0,0.2,7,1,-101713
1.0,0.2,7,2,-101726
1.0,0.2,7,3,-102549
1.0,0.2,7,4,-101789
1.0,0.2,8,0,-102127
1.0,0.2,8,1,-101612
1.0,0.2,8,2,-102589
1.0,0.2,8,3,-100920
1.0,0.2,8,4,-101159
1.0,0.2,9,0,-100951
1.0,0.2,9,1,-100741
1.0,0.2,9,2,-101846
1.0,0.2,9,3,-101007
1.0,0.2,9,4,-101604
1.0,0.25,1,0,-101758
1.0,0.25,1,1,-101573
1.0,0.25,1,2,-101151
1.0,0.25,1,3,-100981
1.0,0.25,1,4,-101885
1.0,0.25,2,0,-971
1.0,0.25,2,1,-1067
1.0,0.25,2,2,-101076
1.0,0.25,2,3,-1085
1.0,0.25,2,4,-101305
1.0,0.25,3,0,-237
1.0,0.25,3,1,-272
1.0,0.25,3,2,-331
1.0,0.25,3,3,-365
1.0,0.25,3,4,-343
1.0,0.25,4,0,-620
1.0,0.25,4,1,-667
1.0,0.25,4,2,-702
1.0,0.25,4,3,-806
1.0,0.25,4,4,-655
1.0,0.25,5,0,-102962
1.0,0.25,5,1,-102203
1.0,0.25,5,2,-101839
1.0,0.25,5,3,-101570
1.0,0.25,5,4,-102335
1.0,0.25,6,0,-101753
1.0,0.25,6,1,-101717
1.0,0.25,6,2,-101321
1.0,0.25,6,3,-101754
1.0,0.25,6,4,-101240
1.0,0.25,7,0,-101248
1.0,0.25,7,1,-101176
1.0,0.25,7,2,-102099
1.0,0.25,7,3,-100785
1.0,0.25,7,4,-100848
1.0,0.25,8,0,-101301
1.0,0.25,8,1,-101016
1.0,0.25,8,2,-101853
1.0,0.25,8,3,-100680
1.0,0.25,8,4,-100861
1.0,0.25,9,0,-101249
1.0,0.25,9,1,-101761
1.0,0.25,9,2,-101433
1.0,0.25,9,3,-101032
1.0,0.25,9,4,-102506
1.0,0.33,1,0,-101675
1.0,0.33,1,1,-102111
1.0,0.33,1,2,-101426
1.0,0.33,1,3,-101007
1.0,0.33,1,4,-101532
1.0,0.33,2,0,-102774
1.0,0.33,2,1,-102427
1.0,0.33,2,2,-101627
1.0,0.33,2,3,-101982
1.0,0.33,2,4,-101345
1.0,0.33,3,0,-354
1.0,0.33,3,1,-465
1.0,0.33,3,2,-554
1.0,0.33,3,3,-503
1.0,0.33,3,4,-491
1.0,0.33,4,0,-652
1.0,0.33,4,1,-723
1.0,0.33,4,2,-695
1.0,0.33,4,3,-761
1.0,0.33,4,4,-672
1.0,0.33,5,0,-102857
1.0,0.33,5,1,-102085
1.0,0.33,5,2,-102537
1.0,0.33,5,3,-101883
1.0,0.33,5,4,-102535
1.0,0.33,6,0,-101366
1.0,0.33,6,1,-101968
1.0,0.33,6,2,-101697
1.0,0.33,6,3,-101633
1.0,0.33,6,4,-101913
1.0,0.33,7,0,-101910
1.0,0.33,7,1,-101022
1.0,0.33,7,2,-101172
1.0,0.33,7,3,-101275
1.0,0.33,7,4,-100597
1.0,0.33,8,0,-101077
1.0,0.33,8,1,-101251
1.0,0.33,8,2,-100753
1.0,0.33,8,3,-102070
1.0,0.33,8,4,-101316
1.0,0.33,9,0,-101792
1.0,0.33,9,1,-100981
1.0,0.33,9,2,-101003
1.0,0.33,9,3,-101597
1.0,0.33,9,4,-101198
1.0,0.5,1,0,-101004
1.0,0.5,1,1,-100766
1.0,0.5,1,2,-101090
1.0,0.5,1,3,-101184
1.0,0.5,1,4,-101063
1.0,0.5,2,0,-102001
1.0,0.5,2,1,-102264
1.0,0.5,2,2,-102039
1.0,0.5,2,3,-100854
1.0,0.5,2,4,-101798
1.0,0.5,3,0,-2144
1.0,0.5,3,1,-2240
1.0,0.5,3,2,-102035
1.0,0.5,3,3,-101878
1.0,0.5,3,4,-101883
1.0,0.5,4,0,-820
1.0,0.5,4,1,-931
1.0,0.5,4,2,-1034
1.0,0.5,4,3,-1048
1.0,0.5,4,4,-884
1.0,0.5,5,0,-102282
1.0,0.5,5,1,-101688
1.0,0.5,5,2,-102254
1.0,0.5,5,3,-101507
1.0,0.5,5,4,-102106
1.0,0.5,6,0,-101836
1.0,0.5,6,1,-101172
1.0,0.5,6,2,-101219
1.0,0.5,6,3,-102068
1.0,0.5,6,4,-101521
1.0,0.5,7,0,-101407
1.0,0.5,7,1,-101646
1.0,0.5,7,2,-101295
1.0,0.5,7,3,-100621
1.0,0.5,7,4,-101091
1.0,0.5,8,0,-100907
1.0,0.5,8,1,-100775
1.0,0.5,8,2,-102599
1.0,0.5,8,3,-101052
1.0,0.5,8,4,-101093
1.0,0.5,9,0,-102011
1.0,0.5,9,1,-101900
1.0,0.5,9,2,-101284
1.0,0.5,9,3,-102076
1.0,0.5,9,4,-101036
2.0,0.2,1,0,-101860
2.0,0.2,1,1,-101908
2.0,0.2,1,2,-101662
2.0,0.2,1,3,-101028
2.0,0.2,1,4,-100866
2.0,0.2,2,0,-1767
2.0,0.2,2,1,-101780
2.0,0.2,2,2,-101691
2.0,0.2,2,3,-101578
2.0,0.2,2,4,-101773
2.0,0.2,3,0,-213
2.0,0.2,3,1,-237
2.0,0.2,3,2,-424
2.0,0.2,3,3,-240
2.0,0.2,3,4,-213
2.0,0.2,4,0,-89
2.0,0.2,4,1,-89
2.0,0.2,4,2,-114
2.0,0.2,4,3,-110
2.0,0.2,4,4,-72
2.0,0.2,5,0,-154
2.0,0.2,5,1,-159
2.0,0.2,5,2,-144
2.0,0.2,5,3,-210
2.0,0.2,5,4,-162
2.0,0.2,6,0,-764
2.0,0.2,6,1,-770
