OBJECTID,BLOCKID,ROWNBR,BLOCK_ST,BLOCK_END,WIDTH_OFFS,GEOBASYS,SPACELENGT,SPACETYPE,SPACETYPED,TIME_LIMIT,SPACE_NB,CATEGORY,SIDE,CURRENT_ST,ELMNTKEY,SHAPE_Leng
3562,OW-25,,139.000000000000000,146.000000000000000,23,,7,CLR,CLEARANCE,,,NP,SW,INSVC,36113,6.991162467217020
3585,25-01,,148.500000000000000,153.500000000000000,21,,5,CLR,CLEARANCE,,,NP,NW,INSVC,13345,4.986384899543945
3620,26-03,,22.000000000000000,49.000000000000000,25,,27,CLR,CLEARANCE,,,NP,NW,INSVC,81289,26.989346035811277
3631,OW-23,,365.000000000000000,372.000000000000000,25,,7,CLR,CLEARANCE,,,NP,SW,INSVC,13521,6.989144146844781
3664,01-24,,235.000000000000000,253.000000000000000,-27,,18,PS,PAY STATION,240,-18,PAID,NE,INSVC,1026,17.981641444533171
3685,OW-25,,93.500000000000000,113.000000000000000,23,,20,PS,PAY STATION,240,-07,PAID,SW,INSVC,36113,19.475495258672705
3709,01-24,,94.000000000000000,101.500000000000000,30,,8,CLR,CLEARANCE,,,NP,SW,INSVC,1025,7.492331594141118
3710,26-01,,60.000000000000000,78.000000000000000,-24,,18,PS,PAY STATION,240,-03,PAID,SE,INSVC,58618,17.946893619244488
3753,25-01,,293.000000000000000,305.000000000000000,-21,,12,CLR,CLEARANCE,,,NP,SE,INSVC,13346,11.967269522504193
3785,26-03,,89.500000000000000,107.500000000000000,25,,18,PS-CAR,PAY STATION - CARPOOL,240,-04,CARPOOL,NW,INSVC,81289,17.992850003259925
3818,OW-25,,70.500000000000000,77.500000000000000,-23,,7,CLR,CLEARANCE,,,NP,NE,INSVC,36114,6.991205565697086
3830,01-24,,192.000000000000000,210.000000000000000,-27,,18,PS,PAY STATION,240,-14,PAID,NE,INSVC,1026,17.981684508216251
3831,26-01,,256.500000000000000,279.000000000000000,-24,,22,CRBBLB,CURB BULB,,-21,NS,SE,INSVC,58618,22.433619181329618
